"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  The Tools endpoints allow browsing and filtering of inventory.","893","results=0 is tolerated (server returns 200)","","Tue Apr 28 15:33:58 UTC 2026","passed","Tue Apr 28 15:33:59 UTC 2026","","Tools API","results=0 is tolerated (server returns 200)",""
"  Authenticated clients should manage orders","69","Update a non-existent order returns 404","","Tue Apr 28 15:33:53 UTC 2026","passed","Tue Apr 28 15:33:53 UTC 2026","","Orders management","Update a non-existent order returns 404",""
"  The Tools endpoints allow browsing and filtering of inventory.","855","Limit results to N within [1..20]","","Tue Apr 28 15:33:57 UTC 2026","passed","Tue Apr 28 15:33:58 UTC 2026","","Tools API","Limit results to N within [1..20]",""
"  The Tools endpoints allow browsing and filtering of inventory.","55","Invalid category returns 400","","Tue Apr 28 15:33:58 UTC 2026","passed","Tue Apr 28 15:33:58 UTC 2026","","Tools API","Invalid category returns 400",""
"  The Tools endpoints allow browsing and filtering of inventory.","156","Limit results to N within [1..20]","","Tue Apr 28 15:33:57 UTC 2026","passed","Tue Apr 28 15:33:57 UTC 2026","","Tools API","Limit results to N within [1..20]",""
"  Authenticated clients should manage orders","1115","Update an existing order customerName","","Tue Apr 28 15:33:50 UTC 2026","passed","Tue Apr 28 15:33:51 UTC 2026","","Orders management","Update an existing order customerName",""
"  Authenticated clients should manage orders","59","Delete order without auth returns 401","","Tue Apr 28 15:33:50 UTC 2026","passed","Tue Apr 28 15:33:50 UTC 2026","","Orders management","Delete order without auth returns 401",""
"  Authenticated clients should manage orders","1057","Create then delete an order","","Tue Apr 28 15:33:48 UTC 2026","passed","Tue Apr 28 15:33:49 UTC 2026","","Orders management","Create then delete an order",""
"  Authenticated clients should manage orders","119","Orders list has required fields","","Tue Apr 28 15:33:45 UTC 2026","passed","Tue Apr 28 15:33:45 UTC 2026","","Orders management","Orders list has required fields",""
"  Authenticated clients should manage orders","1101","Create then fetch a single order","","Tue Apr 28 15:33:47 UTC 2026","passed","Tue Apr 28 15:33:48 UTC 2026","","Orders management","Create then fetch a single order",""
"  The Tools endpoints allow browsing and filtering of inventory.","1073","Filter tools by availability = true","","Tue Apr 28 15:33:55 UTC 2026","passed","Tue Apr 28 15:33:56 UTC 2026","","Tools API","Filter tools by availability = true",""
"  The Tools endpoints allow browsing and filtering of inventory.","71","Filter tools by valid category","","Tue Apr 28 15:33:55 UTC 2026","passed","Tue Apr 28 15:33:55 UTC 2026","","Tools API","Filter tools by valid category",""
"  The Tools endpoints allow browsing and filtering of inventory.","109","Filter tools by valid category","","Tue Apr 28 15:33:54 UTC 2026","passed","Tue Apr 28 15:33:54 UTC 2026","","Tools API","Filter tools by valid category",""
"  The Tools endpoints allow browsing and filtering of inventory.","1138","Filter tools by availability = false","","Tue Apr 28 15:33:56 UTC 2026","passed","Tue Apr 28 15:33:57 UTC 2026","","Tools API","Filter tools by availability = false",""
"  Authenticated clients should manage orders","1141","Created order matches schema","","Tue Apr 28 15:33:45 UTC 2026","passed","Tue Apr 28 15:33:46 UTC 2026","","Orders management","Created order matches schema",""
"  The Tools endpoints allow browsing and filtering of inventory.","256","Limit results to N within [1..20]","","Tue Apr 28 15:33:57 UTC 2026","passed","Tue Apr 28 15:33:57 UTC 2026","","Tools API","Limit results to N within [1..20]",""
"  The Tools endpoints allow browsing and filtering of inventory.","95","Filter tools by valid category","","Tue Apr 28 15:33:55 UTC 2026","passed","Tue Apr 28 15:33:55 UTC 2026","","Tools API","Filter tools by valid category",""
